Which of the following AWS services can be used to run a self-managed database?,Amazon Route 53,AWS X-Ray,AWS Snowmobile,Amazon Elastic Compute Cloud (Amazon EC2),,D
What exclusive benefit is provided to users with Enterprise Support?,Access to a Technical Project Manager,Access to a Technical Account Manager,Access to a Cloud Support Engineer,Access to a Solutions Architect,,B
How can a user protect against AWS service disruptions if a natural disaster affects an entire geographic area?,Deploy applications across multiple Availability Zones within an AWS Region.,Use a hybrid cloud computing deployment model within the geographic area.,Deploy applications across multiple AWS Regions.,Store application artifacts using AWS Artifact and replicate them across multiple AWS Regions.,,C
How does AWS MOST effectively reduce computing costs for a growing start-up company?,It provides on-demand resources for peak usage.,It automates the provisioning of individual developer environments.,It automates customer relationship management.,It implements a fixed monthly computing budget.,,A
A startup is working on a new application that needs to go to market quickly. The application requirements may need to be adjusted in the near future.  Which of the following is a characteristic of the AWS Cloud that would meet this specific need?,Elasticity,Reliability,Performance,Agility,,D
Which AWS Support plan provides a full set of AWS Trusted Advisor checks?,Business and Developer Support,Business and Basic Support,Enterprise and Developer Support,Enterprise and Business Support,,D
Which of the following services have Distributed Denial of Service (DDoS) mitigation features? (Choose two.),AWS WAF,Amazon DynamoDB,Amazon EC2,Amazon CloudFront,Amazon Inspector,AD
When building a cloud Total Cost of Ownership (TCO) model which cost elements should be considered for workloads running on AWS? (Choose three.),Compute costs,Facilities costs,Storage costs,Data transfer costs,Network infrastructure costs,ACE
What time-savings advantage is offered with the use of Amazon Rekognition?,Amazon Rekognition provides automatic watermarking of images.,Amazon Rekognition provides automatic detection of objects appearing in pictures.,Amazon Rekognition provides the ability to resize millions of images automatically.,Amazon Rekognition uses Amazon Mechanical Turk to allow humans to bid on object detection jobs.,,B
When comparing AWS with on-premises Total Cost of Ownership (TCO) what costs are included?,Data center security,Business analysis,Project management,Operating system administration,,A
According to the AWS shared responsibility model what is AWS responsible for?,Configuring Amazon VPC,Managing application code,Maintaining application traffic,Managing the network infrastructure,,D
Which service should be used to estimate the costs of running a new project on AWS?,AWS TCO Calculator,AWS Simple Monthly Calculator,AWS Cost Explorer API,AWS Budgets,,C
Which AWS tool will identify security groups that grant unrestricted Internet access to a limited list of ports?,AWS Organizations,AWS Trusted Advisor,AWS Usage Report,Amazon EC2 dashboard,,B
Which AWS service can be used to generate alerts based on an estimated monthly bill?,AWS Config,Amazon CloudWatch,AWS X-Ray,AWS CloudTrail,Virginia) Region and represents worldwide charges.,B
Which Amazon EC2 pricing model offers the MOST significant discount when compared to On-Demand Instances?,Partial Upfront Reserved Instances for a 1-year term,All Upfront Reserved Instances for a 1-year term,All Upfront Reserved Instances for a 3-year term,No Upfront Reserved Instances for a 3-year term,,C
Which of the following is the responsibility of AWS?,Setting up AWS Identity and Access Management (IAM) users and groups,Physically destroying storage media at end of life,Patching guest operating systems,Configuring security settings on Amazon EC2 instances,- When a storage device has reached the end of its useful life AWS decommissions media using techniques detailed in NIST 800-88.,B
Which of the following is an advantage of using AWS?,AWS audits user data.,Data is automatically secure.,There is no guessing on capacity needs.,AWS manages compliance needs.,,C
Which AWS service would a customer use with a static website to achieve lower latency and high transfer speeds?,AWS Lambda,Amazon DynamoDB Accelerator,Amazon Route 53,Amazon CloudFront,,D
Which services manage and automate application deployments on AWS? (Choose two.),AWS Elastic Beanstalk,AWS CodeCommit,AWS Data Pipeline,AWS CloudFormation,AWS Config,AD
A user wants guidance on possible savings when migrating from on-premises to AWS.  Which tool is suitable for this scenario?,AWS Budgets,Cost Explorer,AWS Total Cost of Ownership (TCO) Calculator,AWS Well-Architected Tool,,C
Which principles are used to architect applications for reliability on the AWS Cloud? (Choose two.),Design for automated failure recovery,Use multiple Availability Zones,Manage changes via documented processes,Test for moderate demand to ensure reliability,Backup recovery to an on-premises environment,AB
What tasks should a customer perform when that customer suspects an AWS account has been compromised? (Choose two.),Rotate passwords and access keys.,Remove MFA tokens.,Move resources to a different AWS Region.,Delete AWS CloudTrail Resources.,Contact AWS Support.,AE
What is an example of high availability in the AWS Cloud?,Consulting AWS technical support at any time day or night,Ensuring an application remains accessible even if a resource fails,Making any AWS service available for use by paying on demand,Deploying in any part of the world using AWS Regions,,B
Which AWS security service protects applications from distributed denial of service attacks with always-on detection and automatic inline mitigations?,Amazon Inspector,AWS Web Application Firewall (AWS WAF),Elastic Load Balancing (ELB),AWS Shield,,D
A company wants to monitor the CPU usage of its Amazon EC2 resources.  Which AWS service should the company use?,AWS CloudTrail,Amazon CloudWatch,AWS Cost and Usage report,Amazon Simple Notification Service (Amazon SNS),,B
What is an AWS Identity and Access Management (IAM) role?,A user associated with an AWS resource,A group associated with an AWS resource,An entity that defines a set of permissions for use with an AWS resource,An authentication credential associated with a multi-factor authentication (MFA) token,,C
What are the advantages of Reserved Instances? (Choose two.),They provide a discount over on-demand pricing.,They provide access to additional instance types.,They provide additional networking capability.,Customers can upgrade instances as new types become available.,Customers can reserve capacity in an Availability Zone.,AE
How do Amazon EC2 Auto Scaling groups help achieve high availability for a web application?,They automatically add more instances across multiple AWS Regions based on global demand of the application.,They automatically add or replace instances across multiple Availability Zones when the application needs it.,They enable the application's static content to reside closer to end users.,They are able to distribute incoming requests across a tier of web server instances.,,B
How can one AWS account use Reserved Instances from another AWS account?,By using Amazon EC2 Dedicated Instances,By using AWS Organizations consolidated billing,By using the AWS Cost Explorer tool,By using AWS Budgets,,B
A customer runs an On-Demand Amazon Linux EC2 instance for 3 hours 5 minutes and 6 seconds.  For how much time will the customer be billed?,3 hours 5 minutes,3 hours 5 minutes and 6 seconds,3 hours 6 minutes,4 hours,,B
Which of the following AWS services provide compute resources? (Choose two.),AWS Lambda,Amazon Elastic Container Service (Amazon ECS),AWS CodeDeploy,Amazon Glacier,AWS Organizations,AB
Which AWS service enables users to deploy infrastructure as code by automating the process of provisioning resources?,Amazon GameLift,AWS CloudFormation,AWS Data Pipeline,AWS Glue,,B
Which AWS services provide a way to extend an on-premises architecture to the AWS Cloud? (Choose two.),Amazon EBS,AWS Direct Connect,Amazon CloudFront,AWS Storage Gateway,Amazon Connect,BD
Which of the following allows users to provision a dedicated network connection from their internal network to AWS?,AWS CloudHSM,AWS Direct Connect,AWS VPN,Amazon Connect,,B
Which services use AWS edge locations? (Choose two.),Amazon CloudFront,AWS Shield,Amazon EC2,Amazon RDS,Amazon ElastiCache,AB
Which service would provide network connectivity in a hybrid architecture that includes the AWS Cloud?,Amazon VPC,AWS Direct Connect,AWS Directory Service,Amazon API Gateway,,A
Which tool can be used to compare the costs of running a web application in a traditional hosting environment to running it on AWS?,AWS Cost Explorer,AWS Budgets,AWS Cost and Usage report,AWS Total Cost of Ownership (TCO) Calculator,,D
What is the value of using third-party software from AWS Marketplace instead of installing third-party software on Amazon EC2? (Choose two.),Users pay for software by the hour or month depending on licensing.,AWS Marketplace enables the user to launch applications with 1-Click.,AWS Marketplace data encryption is managed by a third-party vendor.,AWS Marketplace eliminates the need to upgrade to newer software versions.,Users can deploy third-party software without testing.,AB
Which of the following is a cloud architectural design principle?,Scale up not out.,Loosely couple components.,Build monolithic systems.,Use commercial database software.,,B
Under the shared responsibility model; which of the following areas are the customer's responsibility? (Choose two.),Firmware upgrades of network infrastructure,Patching of operating systems,Patching of the underlying hypervisor,Physical security of data centers,Configuration of the security group,BE
Which service enables customers to audit and monitor changes in AWS resources?,AWS Trusted Advisor,Amazon GuardDuty,Amazon Inspector,AWS Config,,D
Which AWS service identifies security groups that allow unrestricted access to a user's AWS resources?,AWS CloudTrail,AWS Trusted Advisor,Amazon CloudWatch,Amazon Inspector,,B
According to the AWS shared responsibility model who is responsible for configuration management?,It is solely the responsibility of the customer.,It is solely the responsibility of AWS.,It is shared between AWS and the customer.,It is not part of the AWS shared responsibility model.,,C
Which AWS service is a content delivery network that securely delivers data video and applications to users globally with low latency and high speeds?,AWS CloudFormation,AWS Direct Connect,Amazon CloudFront,Amazon Pinpoint,,C
Which benefit of the AWS Cloud supports matching the supply of resources with changing workload demands?,Security,Reliability,Elasticity,High availability,,C
A user is running an application on AWS and notices that one or more AWS-owned IP addresses is involved in a distributed denial-of-service (DDoS) attack.  Who should the user contact FIRST about this situation?,AWS Premium Support,AWS Technical Account Manager,AWS Solutions Architect,AWS Abuse team,,D
Which of the following are benefits of hosting infrastructure in the AWS Cloud? (Choose two.),There are no upfront commitments.,AWS manages all security in the cloud.,Users have the ability to provision resources on demand.,Users have access to free and unlimited storage.,Users have control over the physical infrastructure.,AC
What AWS service would be used to centrally manage AWS access policies across multiple accounts?,AWS Service Catalog,AWS Config,AWS Trusted Advisor,AWS Organizations,,D
What is AWS Trusted Advisor?,It is an AWS staff member who provides recommendations and best practices on how to use AWS.,It is a network of AWS partners who provide recommendations and best practices on how to use AWS.,It is an online tool with a set of automated checks that provides recommendations on cost optimization performance and security.,It is another name for AWS Technical Account Managers who provide recommendations on cost optimization performance and security.,,C
Which AWS service or feature allows a company to visualize understand and manage AWS costs and usage over time?,AWS Budgets,AWS Cost Explorer,AWS Organizations,Consolidated billing,,B
Which AWS service offers on-demand access to AWS security and compliance reports?,AWS CloudTrail,AWS Artifact,AWS Health,Amazon CloudWatch,,B
What are the benefits of using the AWS Cloud for companies with customers in many countries around the world? (Choose two.),Companies can deploy applications in multiple AWS Regions to reduce latency.,Amazon Translate automatically translates third-party website interfaces into multiple languages.,Amazon CloudFront has multiple edge locations around the world to reduce latency.,Amazon Comprehend allows users to build applications that can respond to user requests in many languages.,Elastic Load Balancing can distribute application web traffic to multiple AWS Regions around the world which reduces latency.,AC
Which AWS service handles the deployment details of capacity provisioning load balancing Auto Scaling and application health monitoring?,AWS Config,AWS Elastic Beanstalk,Amazon Route 53,Amazon CloudFront,,B
Which AWS service provides inbound and outbound network ACLs to harden external connectivity to Amazon EC2?,AWS IAM,Amazon Connect,Amazon VPC,Amazon API Gateway,,C
When a company provisions web servers in multiple AWS Regions what is being increased?,Coupling,Availability,Security,Durability,,B
The pay-as-you-go pricing model for AWS services:,reduces capital expenditures.,requires payment up front for AWS services.,is relevant only for Amazon EC2 Amazon S3 and Amazon RDS.,reduces operational expenditures.,,A
Under the AWS shared responsibility model AWS is responsible for which security-related task?,Lifecycle management of IAM credentials,Physical security of global infrastructure,Encryption of Amazon EBS volumes,Firewall configuration,,B
Which AWS service enables users to consolidate billing across multiple accounts?,Amazon QuickSight,AWS Organizations,AWS Budgets,Amazon Forecast,Ltd (AISPL) accounts.,B
Under the AWS shared responsibility model which of the following is an example of security in the AWS Cloud?,Managing edge locations,Physical security,Firewall configuration,Global infrastructure,,C
How can an AWS user with an AWS Basic Support plan obtain technical assistance from AWS?,AWS Senior Support Engineers,AWS Technical Account Managers,AWS Trusted Advisor,AWS Discussion Forums,,C
Which of the following are pillars of the AWS Well-Architected Framework? (Choose two.),Multiple Availability Zones,Performance efficiency,Security,Encryption usage,High availability,BC
After selecting an Amazon EC2 Dedicated Host reservation which pricing option would provide the largest discount?,No upfront payment,Hourly on-demand payment,Partial upfront payment,All upfront payment,,D
What is an advantage of deploying an application across multiple Availability Zones?,There is a lower risk of service failure if a natural disaster causes a service disruption in a given AWS Region.,The application will have higher availability because it can withstand a service disruption in one Availability Zone.,There will be better coverage as Availability Zones are geographically distant and can serve a wider area.,There will be decreased application latency that will improve the user experience.,,B
A Cloud Practitioner is asked how to estimate the cost of using a new application on AWS.  What is the MOST appropriate response?,Inform the user that AWS pricing allows for on-demand pricing.,Direct the user to the AWS Simple Monthly Calculator for an estimate.,Use Amazon QuickSight to analyze current spending on-premises.,Use Amazon AppStream 2.0 for real-time pricing analytics.,,B
A company wants to migrate its applications to a VPC on AWS. These applications will need to access on-premises resources.  What combination of actions will enable the company to accomplish this goal? (Choose two.),Use the AWS Service Catalog to identify a list of on-premises resources that can be migrated.,Build a VPN connection between an on-premises device and a virtual private gateway in the new VPC.,Use Amazon Athena to query data from the on-premises database servers.,Connect the company's on-premises data center to AWS using AWS Direct Connect.,Leverage Amazon CloudFront to restrict access to static web content provided through the company's on-premises web servers.,BD
A web application running on AWS has been spammed with malicious requests from a recurring set of IP addresses.  Which AWS service can help secure the application and block the malicious traffic?,AWS IAM,Amazon GuardDuty,Amazon Simple Notification Service (Amazon SNS),AWS WAF,,D
Treating infrastructure as code in the AWS Cloud allows users to:,automate migration of on-premises hardware to AWS data centers.,let a third party automate an audit of the AWS infrastructure.,turn over application code to AWS so it can run on the AWS infrastructure.,automate the infrastructure provisioning process.,,D
A company requires a dedicated network connection between its on-premises servers and the AWS Cloud.  Which AWS service should be used?,AWS VPN,AWS Direct Connect,Amazon API Gateway,Amazon Connect,,B
Which AWS service can be used to query stored datasets directly from Amazon S3 using standard SQL?,AWS Glue,AWS Data Pipeline,Amazon CloudSearch,Amazon Athena,However Athena is able to query a variety of file formats including but not limited to CSV Parquet JSON etc.,D
AWS CloudFormation is designed to help the user:,model and provision resources.,update application code.,set up data lakes.,create reports for billing.,,A
Which of the following is an AWS database service?,Amazon Redshift,Amazon Elastic Block Store (Amazon EBS),Amazon S3 Glacier,AWS Snowball,,A
A Cloud Practitioner must determine if any security groups in an AWS account have been provisioned to allow unrestricted access for specific ports.  What is the SIMPLEST way to do this?,Review the inbound rules for each security group in the Amazon EC2 management console to check for port 0.0.0.0/0.,Run AWS Trusted Advisor and review the findings.,Open the AWS IAM console and check the inbound rule filters for open access.,In AWS Config create a custom rule that invokes an AWS Lambda function to review rules for inbound access.,,A
What are the benefits of developing and running a new application in the AWS Cloud compared to on-premises? (Choose two.),AWS automatically distributes the data globally for higher durability.,AWS will take care of operating the application.,AWS makes it easy to architect for high availability.,AWS can easily accommodate application demand changes.,AWS takes care application security patching.,CD
A user needs an automated security assessment report that will identify unintended network access to Amazon EC2 instances and vulnerabilities on those instances.  Which AWS service will provide this assessment report?,EC2 security groups,AWS Config,Amazon Macie,Amazon Inspector,,D
How can a company isolate the costs of production and non-production workloads on AWS?,Create Identity and Access Management (IAM) roles for production and non-production workloads.,Use different accounts for production and non-production expenses.,Use Amazon EC2 for non-production workloads and other services for production workloads.,Use Amazon CloudWatch to monitor the use of services.,,B
Where can users find a catalog of AWS-recognized providers of third-party security solutions?,AWS Service Catalog,AWS Marketplace,AWS Quick Start,AWS CodeDeploy,,B
A Cloud Practitioner needs to store data for 7 years to meet regulatory requirements.  Which AWS service will meet this requirement at the LOWEST cost?,Amazon S3,AWS Snowball,Amazon Redshift,Amazon S3 Glacier,,D
What are the immediate benefits of using the AWS Cloud? (Choose two.),Increased IT staff.,Capital expenses are replaced with variable expenses.,User control of infrastructure.,Increased agility.,AWS holds responsibility for security in the cloud.,CD
Which security service automatically recognizes and classifies sensitive data or intellectual property on AWS?,Amazon GuardDuty,Amazon Macie,Amazon Inspector,AWS Shield,,B
What is the purpose of AWS Storage Gateway?,It ensures on-premises data storage is 99.999999999% durable.,It transports petabytes of data to and from AWS.,It connects to multiple Amazon EC2 instances.,It connects on-premises data storage to the AWS Cloud.,,D
What should users do if they want to install an application in geographically isolated locations?,Install the application using multiple internet gateways.,Deploy the application to an Amazon VPC.,Deploy the application to multiple AWS Regions.,Configure the application using multiple NAT gateways.,,C
A system in the AWS Cloud is designed to withstand the failure of one or more components.  What is this an example of?,Elasticity,High Availability,Scalability,Agility,,B
A Cloud Practitioner needs a consistent and dedicated connection between AWS resources and an on-premises system.  Which AWS service can fulfill this requirement?,AWS Direct Connect,AWS VPN,Amazon Connect,AWS Data Pipeline,,A
Within the AWS shared responsibility model who is responsible for security and compliance?,The customer is responsible.,AWS is responsible.,AWS and the customer share responsibility.,AWS shares responsibility with the relevant governing body.,,C
To use the AWS CLI users are required to generate:,a password policy.,an access/secret key.,a managed policy.,an API key.,,B
Which AWS service is used to provide encryption for Amazon EBS?,AWS Certificate Manager,AWS Systems Manager,AWS KMS,AWS Config,,C
How does AWS charge for AWS Lambda usage once the free tier has been exceeded? (Choose two.),By the time it takes for the Lambda function to execute.,By the number of versions of a specific Lambda function.,By the number of requests made for a given Lambda function.,By the programming language that is used for the Lambda function.,By the total number of Lambda functions in an AWS account.,AC
Which of the following describes the relationships among AWS Regions Availability Zones and edge locations? (Choose two.),There are more AWS Regions than Availability Zones.,There are more edge locations than AWS Regions.,An edge location is an Availability Zone.,There are more AWS Regions than edge locations.,There are more Availability Zones than AWS Regions.,BE
What does AWS Shield Standard provide?,WAF rules,DDoS protection,Identity and Access Management (IAM) permissions and access to resources,Data encryption,,B
A company wants to build its new application workloads in the AWS Cloud instead of using on-premises resources.  What expense can be reduced using the AWS Cloud?,The cost of writing custom-built Java or Node .js code,Penetration testing for security,hardware required to support new applications,Writing specific test cases for third-party applications.,,C
What does AWS Marketplace allow users to do? (Choose two.),Sell unused Amazon EC2 Spot Instances.,Sell solutions to other AWS users.,Buy third-party software that runs on AWS.,Purchase AWS security and compliance documents.,Order AWS Snowball.,BC
What does it mean if a user deploys a hybrid cloud architecture on AWS?,All resources run using on-premises infrastructure.,Some resources run on-premises and some run in a colocation center.,All resources run in the AWS Cloud.,Some resources run on-premises and some run in the AWS Cloud.,,D
Which AWS service allows users to identify the changes made to a resource over time?,Amazon Inspector,AWS Config,AWS Service Catalog,AWS IAM,,B
How can a company reduce its Total Cost of Ownership (TCO) using AWS?,By minimizing large capital expenditures,By having no responsibility for third-party license costs,By having no operational expenditures,By having AWS manage applications,,A
Which activity is a customer responsibility in the AWS Cloud according to the AWS shared responsibility model?,Ensuring network connectivity from AWS to the internet,Patching and fixing flaws within the AWS Cloud infrastructure,Ensuring the physical security of cloud data centers,Ensuring Amazon EBS volumes are backed up,,D
What are the advantages of the AWS Cloud? (Choose two.),Fixed rate monthly cost,No need to guess capacity requirements,Increased speed to market,Increased upfront capital expenditure,Physical access to cloud data centers,BC
When comparing the total cost of ownership (TCO) of an on-premises infrastructure to a cloud architecture what costs should be considered? (Choose two.),The credit card processing fees for application transactions in the cloud.,The cost of purchasing and installing server hardware in the on-premises data.,The cost of administering the infrastructure including operating system and software installations patches backups and recovering from failures.,The costs of third-party penetration testing.,The advertising costs associated with an ongoing enterprise-wide campaign.,BC
Which AWS feature allows a company to take advantage of usage tiers for services across multiple member accounts?,Service control policies (SCPs),Consolidated billing,All Upfront Reserved Instances,AWS Cost Explorer,,B
What is one of the customer's responsibilities according to the AWS shared responsibility model?,Virtualization infrastructure,Network infrastructure,Application security,Physical security of hardware,,C
What helps a company provide a lower latency experience to its users globally?,Using an AWS Region that is central to all users,Using a second Availability Zone in the AWS Region that is using used,Enabling caching in the AWS Region that is being used,Using edge locations to put content closer to all users,,D
How can the AWS Cloud increase user workforce productivity after migration from an on-premises data center?,Users do not have to wait for infrastructure provisioning.,The AWS Cloud infrastructure is much faster than an on-premises data center infrastructure.,AWS takes over application configuration management on behalf of users.,Users do not need to address security and compliance issues.,,A
Which AWS service provides a quick and automated way to create and manage AWS accounts?,AWS QuickSight,Amazon Lightsail,AWS Organizations,Amazon Connect,,C
Which Amazon RDS feature can be used to achieve high availability?,Multiple Availability Zones,Amazon Reserved Instances,Provisioned IOPS storage,Enhanced monitoring,,A
Where should users report that AWS resources are being used for malicious purposes?,AWS Abuse team,AWS Shield,AWS Support,AWS Developer Forums,,A
Which AWS service needs to be enabled to track all user account changes within the AWS Management Console?,AWS CloudTrail,Amazon Simple Notification Service (Amazon SNS),VPC Flow Logs,AWS CloudHSM,,A
What is an AWS Cloud design best practice?,Tight coupling of components,Single point of failure,High availability,Overprovisioning of resources,,C
Why is AWS more economical than traditional data centers for applications with varying compute workloads?,Amazon Elastic Compute Cloud (Amazon EC2) costs are billed on a monthly basis.,Customers retain full administrative access to their Amazon EC2 instances.,Amazon EC2 instances can be launched on-demand when needed.,Customers can permanently run enough instances to handle peak workloads.,,C
Which AWS service would simplify migration of a database to AWS?,AWS Storage Gateway,AWS Database Migration Service (AWS DMS),Amazon Elastic Compute Cloud (Amazon EC2),Amazon AppStream 2.0,,B
Which AWS offering enables customers to find buy and immediately start using software solutions in their AWS environment?,AWS Config,AWS OpsWorks,AWS SDK,AWS Marketplace,,D
Which AWS networking service enables a company to create a virtual network within AWS?,AWS Config,Amazon Route 53,AWS Direct Connect,Amazon Virtual Private Cloud (Amazon VPC.,,D
Which of the following is AWS's responsibility under the AWS shared responsibility model?,Configuring third-party applications,Maintaining physical hardware,Securing application access and data,Managing custom Amazon Machine Images (AMIs),,B
Which component of AWS global infrastructure does Amazon CloudFront use to ensure low-latency delivery?,AWS Regions,AWS edge locations,AWS Availability Zones,Amazon Virtual Private Cloud (Amazon VPC.,,B
How would a system administrator add an additional layer of login security to a user's AWS Management Console?,Use AWS Cloud Directory,Audit AWS Identity and Access Management (IAM) roles,Enable Multi-Factor Authentication,Enable AWS CloudTrail,,C
Which service can identify the user that made the API call when an Amazon Elastic Compute Cloud (Amazon EC2) instance is terminated?,Amazon CloudWatch,AWS CloudTrail,AWS X-Ray,AWS Identity and Access Management (AWS IAM),,B
Which service would you use to send alerts based on Amazon CloudWatch alarms?,Amazon Simple Notification Service (Amazon SNS),AWS CloudTrail,AWS Trusted Advisor,Amazon Route 53,,A
Where can a customer find information about prohibited actions on AWS infrastructure?,AWS Trusted Advisor,AWS Identity and Access Management (IAM),AWS Billing Console,AWS Acceptable Use Policy,,D
Which of the following is an example of how moving to the AWS Cloud reduces upfront cost?,By replacing large variable costs with lower capital investments,By replacing large capital investments with lower variable costs,By allowing the provisioning of compute and storage at a fixed level to meet peak demand,By replacing the repeated scaling of virtual servers with a simpler fixed-scale model,,B
When designing a typical three-tier web application which AWS services and/or features improve availability and reduce the impact failures? (Choose two.),AWS Auto Scaling for Amazon EC2 instances,Amazon VPC subnet ACLs to check the health of a service,Distributed resources across multiple Availability Zones,AWS Server Migration Service (AWS SMS) to move Amazon EC2 instances into a different Region,Distributed resources across multiple AWS points of presence,AC
Which cloud design principle aligns with AWS Cloud best practices?,Create fixed dependencies among application components,Aggregate services on a single instance,Deploy applications in a single Availability Zone,Distribute the compute load across multiple resources,,D
Which of the following are recommended practices for managing IAM users? (Choose two.),Require IAM users to change their passwords after a specified period of time,Prevent IAM users from reusing previous passwords,Recommend that the same password be used on AWS and other sites,Require IAM users to store their passwords in raw text,Disable multi-factor authentication (MFA) for IAM users,AB
A company is migrating from on-premises data centers to the AWS Cloud and is looking for hands-on help with the project.  How can the company get this support? (Choose two.),Ask for a quote from the AWS Marketplace team to perform a migration into the company's AWS account.,Contact AWS Support and open a case for assistance,Use AWS Professional Services to provide guidance and to set up an AWS Landing Zone in the company's AWS account,Select a partner from the AWS Partner Network (APN) to assist with the migration,Use Amazon Connect to create a new request for proposal (RFP) for expert assistance in migrating to the AWS Cloud.,CD
How does the AWS Enterprise Support Concierge team help users?,Supporting application development,Providing architecture guidance,Answering billing and account inquires,Answering questions regarding technical support cases,,C
An application designed to span multiple Availability Zones is described as:,being highly available,having global reach,using an economy of scale,having elasticity,,A
A new service using AWS must be highly available. Yet due to regulatory requirements all of its Amazon EC2 instances must be located in a single geographic area.  According to best practices to meet these requirements the EC2 instances must be placed in at least two:,AWS Regions,Availability Zones,subnets,placement groups,,B
Which AWS tool is used to compare the cost of running an application on-premises to running the application in the AWS Cloud?,AWS Trusted Advisor,AWS Simple Monthly Calculator,AWS Pricing Calculator,Cost Explorer,,C
A company has multiple AWS accounts within AWS Organizations and wants to apply the Amazon EC2 Reserved Instances benefit to a single account only.  Which action should be taken?,Purchase the Reserved Instances from master payer account and turn off Reserved Instance sharing.,Enable billing alerts in the AWS Billing and Cost Management console.,Purchase the Reserved Instances in individual linked accounts and turn off Reserved Instance sharing from the payer level.,Enable Reserved Instance sharing in the AWS Billing and Cost Management console.,,A
Which situation should be reported to the AWS Abuse team?,In Availability Zone has a service disruption,An intrusion attempt is made from an AWS IP address,A user has trouble accessing an Amazon S3 bucket from an AWS IP address,A user needs to change payment methods due to a compromise,,B
A company is planning to launch an ecommerce site in a single AWS Region to a worldwide user base.  Which AWS services will allow the company to reach users and provide low latency and high transfer speeds? (Choose two.),Application Load Balancer,AWS Global Accelerator,AWS Direct Connect,Amazon CloudFront,AWS Lambda,BD
Which AWS service or resource is serverless?,AWS Lambda,Amazon EC2 instances,Amazon Lightsail,Amazon ElastiCache,,A
Which of the following are components of Amazon VPC? (Choose two.),Objects,Subnets,Buckets,Internet gateways,Access key,BD
AWS Budgets can be used to:,prevent a given user from creating a resource,send an alert when the utilization of Reserved Instances drops below a certain percentage,set resource limits in AWS accounts to prevent overspending,split an AWS bill across multiple forms of payment,,C
Which of the following will enhance the security of access to the AWS Management Console? (Choose two.),AWS Secrets Manager,AWS Certificate Manager,AWS Multi-Factor Authentication (AWS MFA),Security groups,Password policies,CE
The AWS Trusted Advisor checks include recommendations regarding which of the following? (Choose two.),Information on Amazon S3 bucket permissions,AWS service outages,Multi-factor authentication enabled on the AWS account root user,Available software patches,Number of users in the account,AC
Which functions can users perform using AWS KMS?,Create and manage AWS access keys for the AWS account root user,Create and manage AWS access keys for an AWS account IAM user,Create and manage keys for encryption and decryption of data,Create and manage keys for multi-factor authentication,,C
How does AWS Trusted Advisor provide guidance to users of the AWS Cloud? (Choose two.),It identifies software vulnerabilities in applications running on AWS,It provides a list of cost optimization recommendations based on current AWS usage,It detects potential security vulnerabilities caused by permissions settings on account resources,It automatically corrects potential security issues caused by permissions settings on account resources,It provides proactive alerting whenever an Amazon EC2 instance has been compromised,BC
Which of the following are advantages of the AWS Cloud? (Choose two.),AWS manages the maintenance of the cloud infrastructure,AWS manages the security of applications built on AWS,AWS manages capacity planning for physical servers,AWS manages the development of applications on AWS,AWS manages cost planning for virtual servers,AC
A user deploys an Amazon RDS DB instance in multiple Availability Zones.  This strategy involves which pillar of the AWS Well-Architected Framework?,Performance efficiency,Reliability,Cost optimization,Security,,B
Which AWS services provide a user with connectivity between the AWS Cloud and on-premises resources? (Choose two.),AWS VPN,Amazon Connect,Amazon Cognito,AWS Direct Connect,AWS Managed Services,AD
Which AWS service is used to pay AWS bills and monitor usage and budget costs?,AWS Billing and Cost Management,Consolidated billing,Amazon CloudWatch,Amazon QuickSight,,A
Which element of the AWS global infrastructure consists of one or more discrete data centers each with redundant power networking and connectivity which are housed in separate facilities?,AWS Regions,Availability Zones,Edge locations,Amazon CloudFront,,B
Which Amazon VPC feature enables users to capture information about the IP traffic that reaches Amazon EC2 instances?,Security groups,Elastic network interfaces,Network ACLs,VPC Flow Logs,After you've created a flow log you can retrieve and view its data in the chosen destination.,D
Which AWS service can be used to automatically scale an application up and down without making capacity planning decisions?,Amazon AutoScaling,Amazon Redshift,AWS CloudTrail,AWS Lambda,,A
AWS Enterprise Support users have access to which service or feature that is not available to users with other AWS Support plans?,AWS Trusted Advisor,AWS Support case,Concierge team,Amazon Connect,,C
A company wants to migrate a MySQL database to AWS but does not have the budget for Database Administrators to handle routine tasks including provisioning patching and performing backups.  Which AWS service will support this use case?,Amazon RDS,Amazon DynamoDB,Amazon DocumentDB,Amazon ElastiCache,,A
A company wants to expand from one AWS Region into a second AWS Region.  What does the company need to do to start supporting the new Region?,Contact an AWS Account Manager to sign a new contract,Move an Availability Zone to the new Region,Begin deploying resources in the second Region,Download the AWS Management Console for the new Region,,C
A user must meet compliance and software licensing requirements that state a workload must be hosted on a physical server.  Which Amazon EC2 instance pricing option will meet these requirements?,Dedicated Hosts,Dedicated Instances,Spot Instances,Reserved Instances,,A
Which AWS service will provide a way to generate encryption keys that can be used to encrypt data? (Choose two.),Amazon Macie,AWS Certificate Manager,AWS Key Management Service (AWS KMS),AWS Secrets Manager,AWS CloudHSM,CE
A company is planning to migrate from on-premises to the AWS Cloud.  Which AWS tool or service provides detailed reports on estimated cost savings after migration?,AWS Total Cost of Ownership (TCO) Calculator,Cost Explorer,AWS Budgets,AWS Migration Hub,,A
